polyline_id,hip
0,98036
0,97649
0,97278
1,97649
1,95501
1,97804
2,99473
2,97804
3,95501
3,93747
3,93244
4,95501
4,93805
5,677
5,3092
5,5447
6,9640
6,5447
6,4436
6,3881
7,116231
7,4577
7,115102
7,116231
8,88714
8,85792
8,83081
8,82363
8,85727
8,85267
8,85258
8,88714
9,77853
9,76333
9,74785
9,72622
9,73714
9,76333
10,10324
10,11484
11,8102
11,3419
11,1562
12,3419
12,5364
12,6537
12,8645
12,11345
12,12390
12,12770
12,11783
12,8102
13,10826
13,12390
14,10826
14,12387
14,12706
14,14135
14,13954
14,12828
14,11484
14,12093
14,12706
15,13209
15,9884
15,8903
15,8832
16,92175
16,92202
16,92814
16,90595
16,91117
16,92175
17,42515
17,42828
17,43409
18,71795
18,69673
18,72105
18,74666
18,73555
18,71075
18,71053
18,69673
18,67927
18,67459
19,21060
19,21770
19,21861
20,40702
20,51839
20,60000
21,43103
21,42806
21,40843
22,42806
22,42911
22,40526
23,42911
23,44066
24,100064
24,100345
24,104139
24,105515
24,106985
24,107556
25,105515
25,105881
25,104139
26,100345
26,102485
27,104139
27,102978
28,45238
28,50099
28,52419
28,52468
28,54463
28,53253
28,51232
28,50371
28,45556
29,42568
29,41037
29,30438
30,45080
30,45556
31,45080
31,42568
32,30438
32,31685
33,41037
33,39429
34,8886
34,6686
34,4427
34,3179
34,746
35,71683
35,68702
35,66657
35,68002
35,68282
35,67472
35,67464
35,65936
35,65109
36,67464
36,68933
37,67472
37,71352
37,73334
38,68002
38,61932
38,60823
38,59196
38,56480
38,56561
39,109492
39,112724
39,106032
39,105199
39,109492
40,112724
40,116727
40,106032
41,64241
41,64394
41,60742
42,61317
42,63125
43,28380
43,28360
43,24608
43,23453
43,23015
44,25428
44,23015
45,25428
45,28380
46,30277
46,29807
46,28199
46,27628
46,28328
47,27628
47,26634
47,25859
48,71908
48,75323
49,71908
49,74824
50,53740
50,54682
50,55705
50,55282
50,53740
51,55282
51,55687
51,56633
51,58188
51,57283
51,55705
52,91875
52,92989
52,93174
52,93825
52,94114
52,94160
52,94005
52,93542
52,92953
53,91875
53,90887
54,76127
54,75695
54,76267
54,76952
54,77512
54,78159
54,78493
55,61174
55,60965
55,59803
55,59316
55,59199
56,59316
56,61359
56,60965
57,61084
57,60718
58,62434
58,59747
59,94779
