hip,ra_deg,dec_deg,mag,spect
122,0.39924,-77.06572,4.78,K
145,0.45603,-3.02750,5.13,B
154,0.49008,-6.01407,4.37,M
183,0.58300,-29.72041,5.04,B
301,0.93495,-17.33599,4.55,B
355,1.12550,-10.50952,4.99,K
443,1.33392,-5.70762,4.61,K
677,2.09687,29.09043,2.07,B
746,2.29331,59.14978,2.28,F
761,2.33776,-27.98793,5.42,F
765,2.35254,-45.74743,3.88,K
814,2.50940,-82.22405,5.29,K
841,2.58018,46.07227,5.01,F
910,2.81608,-15.46798,4.89,F
930,2.89341,-27.79974,5.41,K
950,2.93328,-35.13312,5.24,F
983,3.04160,-17.93828,5.29,K
1067,3.30897,15.18360,2.83,B
1158,3.61512,-7.78053,5.13,M
1168,3.65067,20.20670,4.79,M
1170,3.66007,-18.93287,4.44,M
1366,4.27294,38.68164,4.61,A
1473,4.58195,36.78522,4.51,A
1562,4.85698,-8.82392,3.56,K
1599,5.01213,-64.87479,4.23,F
1645,5.14942,8.19027,5.38,K
1647,5.16267,-69.62491,5.50,B
1686,5.28026,37.96860,5.16,F
1708,5.37997,-28.98147,5.18,K
1960,6.19789,61.83106,5.38,B
2021,6.41874,-77.25425,2.82,G
2072,6.55074,-43.67983,3.93,A
2081,6.57084,-42.30598,2.40,K
2210,6.98208,-33.00717,4.86,M
2219,7.01212,17.89313,5.01,M
2225,7.05681,44.39445,5.18,A
2240,7.11041,-39.91500,5.42,M
2355,7.53067,29.75156,5.20,A
2381,7.59439,-23.78768,5.17,A
2472,7.85391,-48.80351,4.76,A
2484,7.88588,-62.95822,4.36,B
2487,7.88919,-62.96556,4.53,A
2505,7.94308,54.52229,4.74,B
2568,8.14784,20.29432,5.38,K
2578,8.18268,-63.03150,5.07,A
2599,8.24995,62.93178,4.17,B
2762,8.81199,-3.59285,5.20,F
2854,9.03459,54.16845,5.08,B
2900,9.19355,44.48859,5.14,K
2912,9.22020,33.71934,4.34,B
2920,9.24282,53.89691,3.69,B
2942,9.33842,35.39950,5.45,G
3031,9.63903,29.31175,4.34,G
3083,9.79122,49.35459,5.45,K
3092,9.83193,30.86102,3.27,K
3138,9.98154,21.43849,5.36,F
3179,10.12674,56.53733,2.24,K
3231,10.27995,39.45866,5.30,G
3245,10.33149,-46.08501,4.59,G
3300,10.51621,50.51253,4.80,B
3330,10.61803,-65.46803,5.38,F
3405,10.83850,-57.46306,4.36,A
3414,10.86699,47.02455,4.95,A
3419,10.89735,-17.98661,2.04,K
3455,11.04750,-10.60955,4.77,K
3504,11.18130,48.28436,4.48,B
3505,11.18499,-22.00614,5.22,F
3544,11.32161,55.22140,5.41,A
3607,11.54894,-22.52210,5.49,G
3632,11.63733,15.47550,5.36,M
3693,11.83472,24.26718,4.08,K
3721,11.94178,74.84757,5.42,B
3781,12.14665,-74.92344,5.09,K
3786,12.17060,7.58508,4.44,K
3801,12.20838,50.96817,4.90,B
3810,12.24462,16.94064,5.07,F
3821,12.27390,57.81519,3.46,G
3881,12.45351,41.07891,4.53,B
3909,12.53165,-10.64433,5.17,F
3949,12.67152,-50.98682,5.24,F
3951,12.68163,64.24755,5.35,A
4104,13.16927,-24.00584,5.47,K
4147,13.25206,-1.14426,4.78,M
4151,13.26767,61.12397,4.80,F
4288,13.74209,23.62833,5.46,K
4292,13.75072,58.97270,4.83,K
4293,13.75127,-69.52708,5.45,G
4371,14.00620,-11.26653,5.35,K
4422,14.16648,59.18106,4.62,G
4427,14.17714,60.71674,2.15,B
4436,14.18827,38.49934,3.86,A
4463,14.30167,23.41765,4.40,G
4510,14.45896,28.99222,5.44,G
